epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.717,1.12733,51.5907,1.29122,0,0,0,0,0.0025,64.625,0.00142,0.0784,0.0024,0.0024
2,58.2609,0.74742,52.7028,1.14579,0,0,0,0,0.00243,64.625,0.00138,0.0558838,0.00488383,0.00488383
3,82.9051,1.13147,47.8433,1.51013,0,0,0,0,0.00239,64.625,0.00136,0.0333512,0.00735116,0.00735116
4,107.593,1.01668,47.3757,1.31231,0,0,0,0,0.00237,64.625,0.00135,0.010802,0.00980199,0.00980199
5,132.366,0.9869,48.6957,1.17643,0,0,0,0,0.0036,64.625,0.00204,0.009868,0.009868,0.009868
6,157.268,1.80061,31.1207,2.62555,0,0,0,0,0.13938,43.5938,0.114,0.009835,0.009835,0.009835
7,182.425,0.86437,47.9009,0.86917,0,0,0,0,0.4134,20.1562,1.04225,0.009802,0.009802,0.009802
8,207.636,0.77528,40.3027,1.12519,0,0,0,0,0.2569,354.25,0.83825,0.009769,0.009769,0.009769
9,233.223,2.20023,27.3179,2.44968,0,0,0,0,0.4641,92.5625,1.33798,0.009736,0.009736,0.009736
10,258.798,1.40073,23.4009,1.88255,0,0,0,0,0.60338,11.2656,1.09463,0.009703,0.009703,0.009703
11,284.262,1.85063,19.4654,1.73267,0,0,0,0,5.40736,6.49341,5.4377,0.00967,0.00967,0.00967
12,309.691,4.07173,14.1455,2.58979,9.00E-05,0.00588,2.00E-05,0,4.29637,38.225,11.7942,0.009637,0.009637,0.009637
13,335.926,4.51975,5.35915,2.26615,0.00115,0.04732,0.0006,0.00013,4.32928,inf,7.50741,0.009604,0.009604,0.009604
14,361.869,4.32369,4.19319,1.79174,0.60425,0.03386,0.00171,0.00025,4.33445,7.87704,3.22767,0.009571,0.009571,0.009571
15,388.111,4.60981,4.58794,1.84373,0.60425,0.03386,0.00171,0.00025,5.26516,4.65378,2.48778,0.009538,0.009538,0.009538
16,414.793,4.35099,3.79505,1.69748,0.00237,0.10922,0.00194,0.00039,4.14029,3.0414,1.87872,0.009505,0.009505,0.009505
17,441.115,4.52295,3.73272,1.79565,0.00507,0.25342,0.0056,0.00143,3.78887,3.18789,1.42366,0.009472,0.009472,0.009472
18,467.913,4.53889,3.62811,1.75419,0.00013,0.00444,7.00E-05,1.00E-05,5.69737,3.85087,1.68581,0.009439,0.009439,0.009439
19,494.505,4.15794,3.29916,1.50817,0.00083,0.02954,0.00054,0.00011,5.30484,3.13801,1.37595,0.009406,0.009406,0.009406
20,521.143,4.1486,3.39125,1.74237,0.01144,0.27577,0.02757,0.00684,3.93946,2.93322,1.1599,0.009373,0.009373,0.009373
21,548.219,3.94398,3.07814,1.5768,0.00879,0.13394,0.00854,0.00177,4.2463,2.97706,1.32822,0.00934,0.00934,0.00934
22,575.035,4.02831,2.97451,1.54119,0.02222,0.58518,0.08646,0.01314,3.66048,2.74052,1.14996,0.009307,0.009307,0.009307
23,601.939,3.83653,2.79943,1.38218,0.02593,0.54913,0.0735,0.01971,3.16273,2.54652,1.06905,0.009274,0.009274,0.009274
24,628.822,3.98207,2.69999,1.38603,0.24003,0.45021,0.06304,0.01525,3.51056,2.47202,1.12631,0.009241,0.009241,0.009241
25,655.589,3.78824,2.75602,1.59726,0.43039,0.05595,0.02988,0.00639,3.58958,2.42342,1.2008,0.009208,0.009208,0.009208
26,682.858,3.78109,2.5722,1.36116,0.47414,0.16282,0.05916,0.01476,3.40357,2.18768,1.11765,0.009175,0.009175,0.009175
27,709.743,3.70154,2.35357,1.33066,0.27323,0.19079,0.08785,0.0259,3.12666,2.30251,1.06441,0.009142,0.009142,0.009142
28,736.817,3.51073,2.42712,1.34718,0.47353,0.13184,0.06109,0.01384,3.68753,2.13474,1.13026,0.009109,0.009109,0.009109
29,763.659,3.74872,2.35244,1.31988,0.50202,0.26248,0.09736,0.02511,3.11714,1.88937,1.04259,0.009076,0.009076,0.009076
30,792.253,3.39046,2.3724,1.40897,0.22994,0.04329,0.0421,0.00702,3.95073,2.16908,1.1519,0.009043,0.009043,0.009043
31,819.453,3.62538,2.15285,1.24468,0.27288,0.13916,0.05257,0.01148,3.51314,2.06649,1.16373,0.00901,0.00901,0.00901
32,848.288,3.53589,2.21412,1.31628,0.28257,0.26163,0.07565,0.02241,3.05132,1.85081,1.03889,0.008977,0.008977,0.008977
33,876.186,3.35615,2.42765,1.46967,0.33502,0.3508,0.15891,0.04123,2.82872,1.78868,1.00244,0.008944,0.008944,0.008944
34,903.683,3.30211,2.16137,1.21746,0.53846,0.38108,0.16668,0.05752,2.5535,1.67504,0.96633,0.008911,0.008911,0.008911
35,931.127,3.32449,2.20125,1.31928,0.48094,0.42185,0.29879,0.06332,2.62845,1.74158,0.97075,0.008878,0.008878,0.008878
36,958.576,3.14526,2.24905,1.42974,0.54616,0.38629,0.25837,0.06576,2.813,1.73241,1.03393,0.008845,0.008845,0.008845
37,985.731,3.24127,2.10288,1.27063,0.33164,0.28637,0.13361,0.03633,2.98827,1.89652,0.99612,0.008812,0.008812,0.008812
38,1012.91,3.29146,1.99603,1.21658,0.29582,0.13412,0.09957,0.02441,3.31816,2.07871,1.04799,0.008779,0.008779,0.008779
